date,symbol,open,high,low,close,volume
2024-12-31 00:00:00+00:00,BTC,42.45,42.64,41.27,41.87,1141901.0
2024-12-30 00:00:00+00:00,BTC,41.16,42.05,40.43,41.75,1167100.0
2024-12-27 00:00:00+00:00,BTC,42.68,42.7,41.31,41.82,1392400.0
2024-12-26 00:00:00+00:00,BTC,42.43,42.81,42.15,42.33,1009000.0
2024-12-24 00:00:00+00:00,BTC,42.91,43.93,42.77,43.85,972318.0
2024-12-23 00:00:00+00:00,BTC,42.28,42.35,40.92,41.21,1931700.0
2024-12-20 00:00:00+00:00,BTC,42.18,43.35,42.03,42.71,1424800.0
2024-12-19 00:00:00+00:00,BTC,45.37,45.569,42.31,42.67,2187800.0
2024-12-18 00:00:00+00:00,BTC,46.4,46.54,44.29,44.6,4040800.0
2024-12-17 00:00:00+00:00,BTC,47.79,48.07,46.87,47.3,2830339.0
2024-12-16 00:00:00+00:00,BTC,46.28,47.86,46.25,46.94,2026800.0
2024-12-13 00:00:00+00:00,BTC,44.56,45.249,44.23,45.11,993600.0
2024-12-12 00:00:00+00:00,BTC,45.0,45.5,44.005,44.34,1269700.0
2024-12-11 00:00:00+00:00,BTC,43.78,45.15,43.68,44.94,1709100.0
2024-12-10 00:00:00+00:00,BTC,43.49,43.62,41.8,42.75,1017200.0
2024-12-09 00:00:00+00:00,BTC,43.96,44.5651,42.6,42.63,1331886.0
2024-12-06 00:00:00+00:00,BTC,44.1,45.33,43.77,45.1,1518000.0
2024-12-05 00:00:00+00:00,BTC,45.62,46.05,43.415,43.94,2153000.0
2024-12-04 00:00:00+00:00,BTC,42.54,44.05,41.96,43.94,986480.0
2024-12-03 00:00:00+00:00,BTC,41.79,42.7499,41.5089,42.42,655922.0
2024-12-02 00:00:00+00:00,BTC,42.56,43.25,41.87,42.46,1126856.0
2024-11-29 00:00:00+00:00,BTC,43.22,43.9,43.06,43.09,927600.0
2024-11-27 00:00:00+00:00,BTC,41.93,43.22,41.8,42.93,1417620.0
2024-11-26 00:00:00+00:00,BTC,40.87,42.03,40.2,40.32,1695300.0
2024-11-25 00:00:00+00:00,BTC,43.17,43.22,41.841,42.16,2146200.0
2024-11-22 00:00:00+00:00,BTC,43.34,44.29,43.12,44.05,2315900.0
2024-11-21 00:00:00+00:00,BTC,43.2,43.98,42.4,43.6,2662800.0
2024-11-20 00:00:00+00:00,BTC,41.97,42.14,41.37,41.84,1353200.0
2024-11-19 00:00:00+00:00,BTC,8.13,8.35,8.09,8.22,18122594.0
2024-11-18 00:00:00+00:00,BTC,8.03,8.2202,7.955,8.13,18949711.0
2024-11-15 00:00:00+00:00,BTC,7.93,8.13,7.78,8.12,21904000.0
2024-11-14 00:00:00+00:00,BTC,8.11,8.15,7.75,7.77,24355300.0
2024-11-13 00:00:00+00:00,BTC,7.99,8.3,7.92,7.97,27717100.0
2024-11-12 00:00:00+00:00,BTC,7.64,7.99,7.56,7.96,31115600.0
2024-11-11 00:00:00+00:00,BTC,7.27,7.77,7.24,7.73,30086700.0
2024-11-08 00:00:00+00:00,BTC,6.77,6.87,6.71,6.8,13020600.0
2024-11-07 00:00:00+00:00,BTC,6.65,6.83,6.6101,6.8,13398086.0
